"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#35778"|"34069317"|"00000000000000373959"|"201705005323248"|"20170821"|"1"|"RB3A020808"|"STEPHEN JOSEPH-SJ102740S-Ciabattine Mare Pesce-S"|"0000000001"|"0000052.78"
"#35778"|"34069317"|"00000000000000373959"|"201705005323248"|"20170821"|"2"|"RB3A017865"|"TYRRELL KATZ-03KB-Under The Sea Kit Bag"|"0000000001"|"0000052.78"
"#35778"|"34069317"|"00000000000000373959"|"201705005323248"|"20170821"|"3"|"RB3A018716"|"COQ EN PATE-L17ESACRUKPHO-Coq en Pate Sacca Foca"|"0000000001"|"0000052.78"
"#35770"|"34071317"|"00000000000000374149"|""|"20170821"|"1"|"RB3A009058"|"TYRRELL KATZ-Trousse elefanti"|"0000000001"|"0000096.64"
"#35770"|"34071317"|"00000000000000374149"|""|"20170821"|"2"|"RB3A021228"|"NEW BALANCE-NBFS996VSI-Scarpa Kids Lifestyle VIOLET Synthetic-6"|"0000000001"|"0000096.64"
"#35770"|"34071317"|"00000000000000374149"|""|"20170821"|"3"|"RB3A018706"|"COQ EN PATE-L17EACCBOBPHO-Coq en Pate Cappellino Foca-L"|"0000000001"|"0000096.64"
"#35770"|"34071317"|"00000000000000374149"|""|"20170821"|"4"|"RB3A018716"|"COQ EN PATE-L17ESACRUKPHO-Coq en Pate Sacca Foca"|"0000000001"|"0000096.64"
"#35722"|"34086317"|"00000000000000373989"|"201705005323251"|"20170821"|"1"|"RB3A017772"|"YOOKIDOO-YKD40130-Pilot Play Set"|"0000000001"|"0000099.70"
"#35722"|"34086317"|"00000000000000373989"|"201705005323251"|"20170821"|"2"|"RB3A017779"|"YOOKIDOO-YKD40140-Balloon e Parrot Rattle"|"0000000001"|"0000099.70"
"#35722"|"34086317"|"00000000000000373989"|"201705005323251"|"20170821"|"3"|"RB3A021292"|"ANORAK-TB-HH-Borsa da Toeletta Grande Ricci"|"0000000001"|"0000099.70"
"#35722"|"34086317"|"00000000000000373989"|"201705005323251"|"20170821"|"4"|"RB3A017796"|"A LITTLE LOVELY COMPANY-BGMS005-Backpack Miss Sunshine"|"0000000001"|"0000099.70"
"#35722"|"34086317"|"00000000000000373989"|"201705005323251"|"20170821"|"5"|"RB3A017798"|"A LITTLE LOVELY COMPANY-BPMR008-Mini Backpack Mermaid"|"0000000001"|"0000099.70"
"#35717"|"34088317"|"00000000000000373999"|"201705005323252"|"20170821"|"1"|"RB3A021129"|"KIDSME-160361_AQ-Food Feeder Plus - Acquamarina"|"0000000003"|"0000095.60"
"#35717"|"34088317"|"00000000000000373999"|"201705005323252"|"20170821"|"2"|"RB3A020702"|"ROCKETBABY-RBP16364-Set 2 Swaddle 120 x 120 cm Egg e Tigre"|"0000000001"|"0000095.60"
"#35717"|"34088317"|"00000000000000373999"|"201705005323252"|"20170821"|"3"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000095.60"
"#35713"|"34090317"|"00000000000000374039"|"201705005323256"|"20170821"|"1"|"RB3A015108"|"JELLY CAT-BK4MF-My Farm Book"|"0000000002"|"0000072.76"
"#35713"|"34090317"|"00000000000000374039"|"201705005323256"|"20170821"|"2"|"RB3A015085"|"JELLY CAT-BAS3BC-When I am big Pelouche"|"0000000001"|"0000072.76"
"#35713"|"34090317"|"00000000000000374039"|"201705005323256"|"20170821"|"3"|"RB3A015084"|"JELLY CAT-BK4WIB-When I am big Book"|"0000000001"|"0000072.76"
"#35677"|"34098317"|"00000000000000373889"|"201705005323243"|"20170821"|"1"|"RB3A018725"|"BS-BTSGA022-Gioco BS Octopus waterparty"|"0000000001"|"0000033.72"
