"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#34644"|"32936317"|"00000000000000359169"|"201705005304207"|"20170728"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#34638"|"32937317"|"00000000000000359049"|"201705005304452"|"20170728"|"1"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000094.40"
"#34635"|"32938317"|"00000000000000359399"|"201705005304315"|"20170728"|"1"|"RB3A014890"|"ROCKETBABY-RBP16332-Cesto Portagiochi Elefante"|"0000000001"|"0000062.72"
"#34635"|"32938317"|"00000000000000359399"|"201705005304315"|"20170728"|"2"|"RB3A012801"|"TELLKIDDO-52-Sacco Portaoggetti Canvas Toys"|"0000000001"|"0000062.72"
"#34632"|"32939317"|"00000000000000359099"|"201705005304182"|"20170728"|"1"|"RB3A012347"|"CUPCAKE BABIES-VDBB05-Cappello Anti Schiuma Blu"|"0000000001"|"0000016.86"
"#34627"|"32940317"|"00000000000000359389"|"201705005304358"|"20170728"|"1"|"RB3A015742"|"IIAMO-703-Cartucce termiche per biberon autoriscaldante"|"0000000001"|"0000034.71"
"#34627"|"32940317"|"00000000000000359389"|"201705005304358"|"20170728"|"2"|"RB3A015738"|"IIAMO-105-Biberon Go bianco e rosa"|"0000000001"|"0000034.71"
"#34621"|"32941317"|"00000000000000359219"|"201705005304331"|"20170728"|"1"|"RB3A017861"|"TYRRELL KATZ-03BT2-Under The Sea Drinking Bottle"|"0000000001"|"0000020.86"
"#34616"|"32942317"|"00000000000000359429"|"201705005304309"|"20170728"|"1"|"RB3A021086"|"INNOBABY-IN-SIL-SPN02-cucchiaio verde con custodia"|"0000000001"|"0000007.86"
"#34616"|"32942317"|"00000000000000359429"|"201705005304309"|"20170728"|"2"|"RB3A009313"|"ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde"|"0000000001"|"0000007.86"
"#34613"|"32943317"|"00000000000000359249"|"201705005304185"|"20170728"|"1"|"RB3A020862"|"LA MILLOU PARENTS PRIDE-HAT-G-TS-Cappellino da Sole Regolabile Tucani"|"0000000001"|"0000023.86"
"#34612"|"32944317"|"00000000000000359239"|"201705005304183"|"20170728"|"1"|"RB3A020782"|"DUUKIES BEACH SOCKS-MX-22-23-Calze in Neoprene Max-22-23"|"0000000001"|"0000026.86"
"#34602"|"32945317"|"00000000000000359199"|"201705005304190"|"20170728"|"1"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000025.86"
"#34595"|"32946317"|"00000000000000359139"|"201705005304412"|"20170728"|"1"|"RB3A014883"|"ROCKETBABY-RBP16346-Sacco Nanna Balena Blu Oceano"|"0000000001"|"0000054.76"
"#33540A"|"32947317"|"00000000000000359449"|"201705005304366"|"20170728"|"1"|"RB3A009407"|"ELODIE DETAILS-103140-Cordoncino Ciuccio - White Denim"|"0000000001"|"0000121.96"
"#33540A"|"32947317"|"00000000000000359449"|"201705005304366"|"20170728"|"2"|"RB3A009820"|"FCTRY-GLSTA24-Occhiali da Sole Baby Azzurri 0-2 anni"|"0000000001"|"0000121.96"
"#33540A"|"32947317"|"00000000000000359449"|"201705005304366"|"20170728"|"3"|"RB3A019880"|"SKIP HOP-252201-Set Piatto + Ciotola - CANE"|"0000000001"|"0000121.96"
"#33540A"|"32947317"|"00000000000000359449"|"201705005304366"|"20170728"|"4"|"RB3A019857"|"SKIP HOP-252105-Zoo Bowl - APE"|"0000000001"|"0000121.96"
"#33540A"|"32947317"|"00000000000000359449"|"201705005304366"|"20170728"|"6"|"RB3A008983"|"TYRRELL KATZ-Vassoio con scomparti dinosauri"|"0000000001"|"0000121.96"
"#33540A"|"32947317"|"00000000000000359449"|"201705005304366"|"20170728"|"7"|"RB3A020855"|"ALECTO-AL-BC17-Luce Cattura Insetti"|"0000000001"|"0000121.96"
"#34466"|"32948317"|"00000000000000359369"|"201705005304295"|"20170728"|"1"|"RB3A014990"|"PLAY e GO-Roadmap-Sacco Portagiochi Circuito"|"0000000001"|"0000040.90"
"#34337A"|"32949317"|"00000000000000359029"|"201705005304461"|"20170728"|"1"|"RB3A010394"|"BABYCAR-618BL-JEEP SAFARI BLU"|"0000000001"|"0000241.96"
"#34225"|"32950317"|"00000000000000359359"|"201705005304296"|"20170728"|"1"|"RB3A014990"|"PLAY e GO-Roadmap-Sacco Portagiochi Circuito"|"0000000001"|"0000040.90"
"#34214"|"32951317"|"00000000000000359479"|"201705005304302"|"20170728"|"1"|"RB3A020879"|"KG DESIGN-3040-Tovaglietta in Silicone Nuvoletta Verde Acqua"|"0000000001"|"0000088.64"
"#34214"|"32951317"|"00000000000000359479"|"201705005304302"|"20170728"|"2"|"RB3A020878"|"KG DESIGN-3036-Tovaglietta in Silicone Nuvoletta Rosa"|"0000000001"|"0000088.64"
"#34214"|"32951317"|"00000000000000359479"|"201705005304302"|"20170728"|"3"|"RB3A020891"|"KG DESIGN-100104-Set 2 Portagelato in Silicone Verde Fucsia"|"0000000002"|"0000088.64"
"#34214"|"32951317"|"00000000000000359479"|"201705005304302"|"20170728"|"4"|"RB3A017875"|"PLAY e GO-Pink_Elephant-Sacco Portagiochi Elefanti Rosa"|"0000000001"|"0000088.64"
"#34301"|"32952317"|"00000000000000359489"|"201705005304324"|"20170728"|"1"|"RB3A020859"|"LA MILLOU PARENTS PRIDE-HAT-G-GRD-Cappellino da Sole Regolabile Diamanti Grigi"|"0000000001"|"0000063.68"
"#34301"|"32952317"|"00000000000000359489"|"201705005304324"|"20170728"|"2"|"RB3A018645"|"LOLLIPOPS AND MORE-2952349926559-Lollipops and More Licorice Necklace Turquoise"|"0000000001"|"0000063.68"
"#34301"|"32952317"|"00000000000000359489"|"201705005304324"|"20170728"|"3"|"RB3A015209"|"INNOBABY-IN-AQ-C02-Innobaby - AquaHeat Cool Pack - Rectangle"|"0000000001"|"0000063.68"
"#34160"|"32953317"|"00000000000000359039"|"201705005304462"|"20170728"|"1"|"RB3A019429"|"BABYCAR-0905b-Babycar Jeep Adventure Bianca"|"0000000001"|"0000291.00"
"#34030"|"32954317"|"00000000000000359329"|"201705005304290"|"20170728"|"1"|"RB3A016543"|"KANGA CARE-KCKETRNRSMS303-Mutandina Di Transizione Caribbean M"|"0000000001"|"0000107.60"
"#34030"|"32954317"|"00000000000000359329"|"201705005304290"|"20170728"|"2"|"RB3A016537"|"KANGA CARE-KCKETRNRSMS301-Mutandina Di Transizione Atlantis M"|"0000000002"|"0000107.60"
"#34030"|"32954317"|"00000000000000359329"|"201705005304290"|"20170728"|"3"|"RB3A016540"|"KANGA CARE-KCKETRNRSMS302-MutanDinda Di Transizione Boysenberry M"|"0000000002"|"0000107.60"
"#33937"|"32955317"|"00000000000000359319"|"201705005304421"|"20170728"|"1"|"RB3A018474"|"GLOBBER-IDD410-106-Monopattino My Free ad Asta fissa - Verde"|"0000000001"|"0000079.46"
"#33841A"|"32956317"|"00000000000000359529"|"201705005304318"|"20170728"|"1"|"RB3A007886"|"LIMOBASICS-09509R_GRI_74-80-Culotte grigio chiaro GRI"|"0000000001"|"0000000.00"
"#33841A"|"32956317"|"00000000000000359529"|"201705005304318"|"20170728"|"2"|"RB3A018710"|"COQ EN PATE-L17EACCBOBHIP-Coq en Pate Cappellino Cavalluccio Marino-S"|"0000000001"|"0000000.00"
