"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32797"|"3832217"|"20170803"|"20170803"|"PO32797"|"20170731"|"FO20170731_PO32797"|"Babycar"|"RB3A010390"|"BABYCAR-500R-MERCEDES S 63 AMG ROSA"|"0000000001"|"0000000001"
"PO32797"|"3832217"|"20170803"|"20170803"|"PO32797"|"20170731"|"FO20170731_PO32797"|"Babycar"|"RB3A019429"|"BABYCAR-0905b-Babycar Jeep Adventure Bianca"|"0000000001"|"0000000001"
"RESO ORD. 30258"|"3808217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020001"|"IGOR SHOES-S10108-017-Sandali da Spiaggia Cholo Grigio-22"|"0000000000"|"0000000001"
"RESO ORD. 30258"|"3808217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020002"|"IGOR SHOES-S10108-017-Sandali da Spiaggia Cholo Grigio-23"|"0000000000"|"0000000001"
"RESO ORD. 30286"|"3831217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A009289"|"PLAY e GO-designer_badminton-Sacco Portagiochi Badminton"|"0000000000"|"0000000001"
"RESO ORD. 31382"|"3818217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A011311"|"KANGA CARE-KC-C4025SP-Pannolino Rumparooz Quinn"|"0000000000"|"0000000001"
"RESO ORD. 31395"|"3797217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A007740"|"COQ EN PATE-L13ESACRUKMBREN-Sacca Volpe"|"0000000000"|"0000000001"
"RESO ORD. 31472"|"3809217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A018138"|"ELODIE DETAILS-103043-CIUCCIO POWDER PINK"|"0000000000"|"0000000001"
"RESO ORD. 31472"|"3809217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A018147"|"ELODIE DETAILS-103150-CORDINO CIUCCIO POWDER PINK"|"0000000000"|"0000000001"
"RESO ORD. 31593"|"3806217"|"20170803"|"20170803"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A019982"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-21"|"0000000000"|"0000000001"
