"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32936"|"4068217"|"20170912"|"20170912"|"PO32936"|"20170904"|"FO20170904_PO32936"|"NIKE"|"RB3A014026"|"NIKE-454478-PICO 4 (TDV) ROSA 7C-EU23.5"|"0000000002"|"0000000002"
"PO32972"|"4063217"|"20170911"|"20170912"|"PO32972"|"20170906"|"FO20170906_PO32972"|"Innobaby"|"RB3A021269"|"INNOBABY-IN-SIL-FISH03-Spazzola Pesce per Bagno Arancione"|"0000000004"|"0000000004"
"PO32973"|"4064217"|"20170911"|"20170912"|"PO32973"|"20170906"|"FO20170906_PO32973"|"Kanga Care"|"RB3A011306"|"KANGA CARE-KC-KRRUMPSOS-P117-Pannolino Rumparooz Clyde"|"0000000001"|"0000000001"
"RESO ORD. 34410"|"4067217"|"20170912"|"20170912"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A021130"|"KIDSME-9886_ S-Alberello Asciuga Biberon - Acquamarina"|"0000000000"|"0000000001"
"RESO ORD. 34410"|"4067217"|"20170912"|"20170912"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A021134"|"KIDSME-9655-Accessorio per la Dentizione Ghiacciolo Moo Moo"|"0000000000"|"0000000001"
"PO32936"|"4068217"|"20170912"|"20170912"|"PO32936"|"20170904"|"FO20170904_PO32936"|"NIKE"|"RB3A014024"|"NIKE-454478-PICO 4 (TDV) ROSA 6C-EU22"|"0000000002"|"0000000002"
"PO32936"|"4068217"|"20170912"|"20170912"|"PO32936"|"20170904"|"FO20170904_PO32936"|"NIKE"|"RB3A014106"|"NIKE-454501-PICO 4 (TDV) NERA 9C-EU26"|"0000000001"|"0000000001"
"PO32974"|"4065217"|"20170911"|"20170912"|"PO32974"|"20170906"|"FO20170906_PO32974"|"Zoli"|"RB3A021063"|"ZOLI-ZL-KS12RFZE01-Ciondolo catarifrangente di sicurezza Peary"|"0000000001"|"0000000001"
"PO32974"|"4066217"|"20170912"|"20170912"|"PO32974"|"20170906"|"FO20170906_PO32974"|"Zoli"|"RB3A015392"|"ZOLI-ZL-BF12PLYO01-Borsa per il pranzo termica arancione"|"0000000002"|"0000000002"
"RESO ORD. 34410"|"4067217"|"20170912"|"20170912"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A010167"|"CHILDHOME-CHBBHF-Supporto per Bagnetto Bianco e Rosa"|"0000000000"|"0000000001"
