"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#34586C"|"35295317"|"00000000000000385029"|"201705005352224"|"20170912"|"1"|"RB3A021203"|"STICKY BELLIES-344-Calendario a Cubotti Blu"|"0000000001"|"0000029.86"
"#34477B"|"35296317"|"00000000000000385049"|"201705005352209"|"20170912"|"1"|"RB3A021197"|"STICKY BELLIES-315-Adesivi Kaleidescope Cutie Girls"|"0000000001"|"0000021.86"
"#36993"|"35297317"|"00000000000000384909"|"201705005352297"|"20170912"|"1"|"RB3A021435"|"ROCKETBABY-RBP16379-Cesto Passeggino Balena"|"0000000001"|"0000025.86"
"#36987"|"35298317"|"00000000000000385329"|"201705005352314"|"20170912"|"1"|"RB3A014887"|"ROCKETBABY-RBP16350-Sacco Nanna Balena Blu"|"0000000001"|"0000054.76"
"#36974"|"35299317"|"00000000000000385609"|"201705005352887"|"20170912"|"1"|"RB3A007768"|"SPUGNOTTO-Spugnotto Giallo e Rosa"|"0000000001"|"0000037.82"
"#36974"|"35299317"|"00000000000000385609"|"201705005352887"|"20170912"|"2"|"RB3A009853"|"ELODIE DETAILS-103439-Bavaglino Bandana Pizzo"|"0000000001"|"0000037.82"
"#36971"|"35300317"|"00000000000000384899"|"201705005352298"|"20170912"|"1"|"RB3A021435"|"ROCKETBABY-RBP16379-Cesto Passeggino Balena"|"0000000001"|"0000025.86"
"#36966"|"35301317"|"00000000000000385389"|"201705005352311"|"20170912"|"1"|"RB3A012642"|"BOXBO-BK-05-Stivali in Gomma Kawai Rosa 23-24"|"0000000001"|"0000036.86"
"#36918"|"35302317"|"00000000000000385349"|"201705005352281"|"20170912"|"1"|"RB3A013573"|"BLADEeROSE-5060257465774-Leggings Crazy Cat 1-2y"|"0000000001"|"0000018.57"
"#36913"|"35303317"|"00000000000000385379"|"201705005352293"|"20170912"|"1"|"RB3A013424"|"ELODIE DETAILS-103684-Copertina Pearl Velvet Powder Pink"|"0000000001"|"0000042.87"
"#36909"|"35304317"|"00000000000000385509"|"201705005352851"|"20170912"|"1"|"RB3A007741"|"COQ EN PATE-L14HSACRUKMBGOR-Sacca Gorilla"|"0000000001"|"0000020.86"
"#36877"|"35305317"|"00000000000000385149"|"201705005352418"|"20170912"|"1"|"RB3A019874"|"SKIP HOP-252332-Bottiglia da Viaggio con cannuccia-UNICORNO"|"0000000001"|"0000016.86"
"#36847"|"35306317"|"00000000000000385169"|"201705005352426"|"20170912"|"1"|"RB3A019843"|"SKIP HOP-235103-Moby Rinser Bricco Sciacquabimbo - COLORE UNICO"|"0000000001"|"0000020.76"
