"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#36121"|"34713317"|"00000000000000378479"|"201705005334978"|"20170831"|"1"|"RB3A018641"|"LITTLELIFE-L10930-Zaino Littlelife 1-3 anni Topolino"|"0000000001"|"0000052.80"
"#36071"|"34714317"|"00000000000000378439"|"201705005334965"|"20170831"|"1"|"RB3A021326"|"LITTLELIFE-L12440-Zaino 3+ anni Minnie"|"0000000001"|"0000063.80"
"#36069"|"34715317"|"00000000000000378459"|"201705005334976"|"20170831"|"1"|"RB3A018642"|"LITTLELIFE-L10980-Zaino Littlelife 1-3 anni Minnie"|"0000000001"|"0000052.80"
"#35343A"|"34716317"|"00000000000000378469"|"201705005334989"|"20170831"|"1"|"RB3A013053"|"A LITTLE LOVELY COMPANY-LTSP030-Lampada Mini Stella Rosa"|"0000000001"|"0000000.00"
"#34529E"|"34717317"|"00000000000000378499"|"201705005334982"|"20170831"|"1"|"RB3A012353"|"CUPCAKE BABIES-CCBBF01-Set Baby Bath 2 in 1 Fucsia"|"0000000001"|"0000000.00"
"#36032"|"34718317"|"00000000000000378509"|"201705005334987"|"20170831"|"1"|"RB3A018716"|"COQ EN PATE-L17ESACRUKPHO-Coq en Pate Sacca Foca"|"0000000001"|"0000000.00"
"#36032"|"34718317"|"00000000000000378509"|"201705005334987"|"20170831"|"2"|"RB3A020797"|"STEPHEN JOSEPH-SJ101125-Borraccia Morbida Farfalla"|"0000000001"|"0000000.00"
"#36032"|"34718317"|"00000000000000378509"|"201705005334987"|"20170831"|"3"|"RB3A021334"|"ANORAK-TB-BC-Borsa da Toeletta Grande Cagnolini"|"0000000001"|"0000000.00"
"#36032"|"34718317"|"00000000000000378509"|"201705005334987"|"20170831"|"4"|"RB3A021326"|"LITTLELIFE-L12440-Zaino 3+ anni Minnie"|"0000000001"|"0000000.00"
"#35943"|"34719317"|"00000000000000378519"|"201705005335081"|"20170831"|"1"|"RB3A012492"|"BLOOMINGVILLE-21235982-Mug Christian Bianca e Blu"|"0000000001"|"0000000.00"
"#35943"|"34719317"|"00000000000000378519"|"201705005335081"|"20170831"|"2"|"RB3A012488"|"BLOOMINGVILLE-21235387-Mug Audrey Bianca e Rosa"|"0000000002"|"0000000.00"
"#35943"|"34719317"|"00000000000000378519"|"201705005335081"|"20170831"|"3"|"RB3A012491"|"BLOOMINGVILLE-21235981-Ciotolina Christian Bianca e Blu"|"0000000001"|"0000000.00"
"#35943"|"34719317"|"00000000000000378519"|"201705005335081"|"20170831"|"4"|"RB3A012487"|"BLOOMINGVILLE-21235386-Ciotolina Audrey Bianca e Rosa"|"0000000001"|"0000000.00"
"#35943"|"34719317"|"00000000000000378519"|"201705005335081"|"20170831"|"5"|"RB3A020267"|"DAIKOS-SQD217TU45-Pinna da Squalo Arancione"|"0000000001"|"0000000.00"
