"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#35866"|"34391317"|"00000000000000375119"|"201705005325526"|"20170823"|"1"|"RB3A020877"|"KG DESIGN-3037-Tovaglietta in Silicone Nuvoletta Azzurra"|"0000000001"|"0000048.78"
"#35866"|"34391317"|"00000000000000375119"|"201705005325526"|"20170823"|"2"|"RB3A020880"|"KG DESIGN-3028-Tovaglietta in Silicone Macchinina Rosa"|"0000000001"|"0000048.78"
"#35866"|"34391317"|"00000000000000375119"|"201705005325526"|"20170823"|"3"|"RB3A018716"|"COQ EN PATE-L17ESACRUKPHO-Coq en Pate Sacca Foca"|"0000000001"|"0000048.78"
"#35858"|"34392317"|"00000000000000374909"|"201705005325788"|"20170823"|"1"|"RB3A011288"|"LOVE MAE-LVYH009-Set Pappa Frutta e Verdura 5 pz"|"0000000001"|"0000042.76"
"#35857"|"34393317"|"00000000000000375199"|"201705005325762"|"20170823"|"1"|"RB3A018736"|"BS-BTSGA196-Gioco BS XXL Bubbles"|"0000000001"|"0000049.92"
"#35857"|"34393317"|"00000000000000375199"|"201705005325762"|"20170823"|"2"|"RB3A008467"|"BEATRIX NY-BEA0001.PE-Zaino grande Polipo Penelope"|"0000000001"|"0000049.92"
"#35852"|"34394317"|"00000000000000375209"|"201705005325672"|"20170823"|"1"|"RB3A008441"|"BEATRIX NY-BEA0004.KA-Lunch Box Rana Katarina"|"0000000001"|"0000069.82"
"#35852"|"34394317"|"00000000000000375209"|"201705005325672"|"20170823"|"2"|"RB3A008451"|"BEATRIX NY-BEA0003.KA-Zaino piccolo Rana Katarina"|"0000000001"|"0000069.82"
"#35847"|"34395317"|"00000000000000375079"|"201705005325552"|"20170823"|"1"|"RB3A008460"|"BEATRIX NY-BEA0003.CI-Zaino piccolo Pulcino Kiki"|"0000000001"|"0000041.86"
"#35846"|"34396317"|"00000000000000374889"|"201705005325714"|"20170823"|"1"|"RB3A020635"|"MIAMI KIDS-DTZ9270-FRIES-Tutina 2 Pezzi a Maniche Lunghe Patatine Fritte-2 T"|"0000000001"|"0000034.97"
