"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32823"|"3936217"|"20170823"|"20170823"|"PO32823"|"20170801"|"FO20170801_PO32823"|"Buggygear"|"RB3A020972"|"BUGGYGEAR-BDECOBLK-BUGGYGUARD DECO STROLLER LOCKS - BLACK"|"0000000012"|"0000000004"
"PO32823"|"3936217"|"20170823"|"20170823"|"PO32823"|"20170801"|"FO20170801_PO32823"|"Buggygear"|"RB3A020977"|"BUGGYGEAR-BSUNCPINK-STROLLER SUNVISOR UPF50 - PINK PETALS"|"0000000012"|"0000000014"
"PO32823"|"3936217"|"20170823"|"20170823"|"PO32823"|"20170801"|"FO20170801_PO32823"|"Buggygear"|"RB3A021135"|"BUGGYGEAR-BHRTHKRED-HEART SHAPED STROLLER HOOK - SILVER/RED"|"0000000024"|"0000000024"
