"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#35389"|"34823317"|"00000000000000379759"|"201705005340074"|"20170904"|"1"|"RB3A021127"|"KIDSME-160350_AQ-Food Feeder Medio - Acquamarina"|"0000000001"|"0000017.86"
"#35028E"|"34824317"|"00000000000000379969"|"201705005339747"|"20170904"|"1"|"RB3A018210"|"ELODIE DETAILS-103924-GIOCATTOLO MUSICALE ACCHIAPPASOGNI"|"0000000001"|"0000031.96"
"#36426"|"34825317"|"00000000000000380559"|"201705005340165"|"20170904"|"1"|"RB3A013839"|"BLADEeROSE-5060257465873-Leggings Rainbow 1-2y"|"0000000001"|"0000083.72"
"#36426"|"34825317"|"00000000000000380559"|"201705005340165"|"20170904"|"2"|"RB3A021311"|"STEPHEN JOSEPH-SJ880160A06-Stivaletti gomma coccinella-6"|"0000000001"|"0000083.72"
"#36426"|"34825317"|"00000000000000380559"|"201705005340165"|"20170904"|"3"|"RB3A013845"|"BLADEeROSE-5060257463114-Bobble Hat Red 1-2y"|"0000000001"|"0000083.72"
"#36426"|"34825317"|"00000000000000380559"|"201705005340165"|"20170904"|"4"|"RB3A013711"|"BLADEeROSE-5060257461714-Leggings Katie Kitten  2-3y"|"0000000001"|"0000083.72"
"#36426"|"34825317"|"00000000000000380559"|"201705005340165"|"20170904"|"5"|"RB3A013755"|"BLADEeROSE-5060257465835-Leggings Oheo Owl 2-3y"|"0000000001"|"0000083.72"
"#36416"|"34826317"|"00000000000000379739"|"201705005339632"|"20170904"|"1"|"RB3A021240"|"NEW BALANCE-NBKV500NLI-Scarpa Kids Lifestyle NAVY Synthetic-6"|"0000000001"|"0000047.76"
"#36412"|"34827317"|"00000000000000380249"|"201705005339887"|"20170904"|"1"|"RB3A012348"|"CUPCAKE BABIES-VDBJ09-Cappello Anti Schiuma Gialla"|"0000000001"|"0000016.86"
"#36408"|"34828317"|"00000000000000379899"|"201705005340852"|"20170904"|"1"|"RB3A019518"|"MICRO MOBILITY-MP37170-Micro Mobility Monopattino Mini2go Deluxe Plus Rosa"|"0000000001"|"0000150.86"
"#36401"|"34829317"|"00000000000000379809"|"201705005339719"|"20170904"|"1"|"RB3A021009"|"MOUTHIE MITTEN-MM04A-EU-Guantino Massaggia Gengive per la Dentizione Aqua"|"0000000001"|"0000026.86"
"#36400"|"34830317"|"00000000000000379659"|"201705005339580"|"20170904"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#36388"|"34831317"|"00000000000000380099"|"201705005340794"|"20170904"|"1"|"RB3A015445"|"LITTLE BIRD TOLD ME-LB3057-Lewis e Fitz Rocking Horse"|"0000000001"|"0000120.05"
