"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#35933"|"34426317"|"00000000000000375689"|"201705005327358"|"20170824"|"1"|"RB20006J"|"FCTRY-pcsta01-Ciuccio Gentleman"|"0000000001"|"0000018.86"
"#35930"|"34427317"|"00000000000000375759"|"201705005327716"|"20170824"|"1"|"RB3A020854"|"ALECTO-AL-BC16-Repellente insetti a ultrasuoni"|"0000000001"|"0000085.74"
"#35930"|"34427317"|"00000000000000375759"|"201705005327716"|"20170824"|"2"|"RB3A019842"|"SKIP HOP-235100-Moby -COLORE UNICO"|"0000000001"|"0000085.74"
"#35930"|"34427317"|"00000000000000375759"|"201705005327716"|"20170824"|"3"|"RB3A012347"|"CUPCAKE BABIES-VDBB05-Cappello Anti Schiuma Blu"|"0000000001"|"0000085.74"
"#35930"|"34427317"|"00000000000000375759"|"201705005327716"|"20170824"|"4"|"RB3A019591"|"BABYDAM-babydamg-Babydam Riduttore per Vasca da Bagno Grigio e Bianco"|"0000000001"|"0000085.74"
"#35926"|"34428317"|"00000000000000375799"|"201705005327585"|"20170824"|"1"|"RB3A009469"|"ESTHEX-040132-Zaino Pinguino Ned"|"0000000001"|"0000058.41"
"#35926"|"34428317"|"00000000000000375799"|"201705005327585"|"20170824"|"2"|"RB3A011092"|"COQ EN PATE-L16SACRUKMBELE-Sacca Elefante"|"0000000001"|"0000058.41"
"#35911"|"34429317"|"00000000000000375699"|"201705005327355"|"20170824"|"1"|"RB3A021220"|"NEW BALANCE-NBKL574CPC-Scarpa Kids Lifestyle PINK Leather W-1"|"0000000001"|"0000053.72"
"#35911"|"34429317"|"00000000000000375699"|"201705005327355"|"20170824"|"2"|"RB3A020708"|"ROCKETBABY-RBP16370-Set 2 Swaddle 60 x 70 cm Montagna e Baby Panda"|"0000000001"|"0000053.72"
"#35896"|"34430317"|"00000000000000375719"|"201705005327840"|"20170824"|"1"|"RB3A015201"|"INNOBABY-IN-AQ-H01-Innobaby - AquaHeat - WARM Heat Pack - set of 6"|"0000000001"|"0000084.68"
"#35896"|"34430317"|"00000000000000375719"|"201705005327840"|"20170824"|"2"|"RB3A015198"|"INNOBABY-IN-AQ-B01-Innobaby - AquaHeat 10oz Stainless Bottle e Warmer"|"0000000001"|"0000084.68"
"#35896"|"34430317"|"00000000000000375719"|"201705005327840"|"20170824"|"3"|"RB3A021279"|"QAMELEO-LUS001K-Specchio Morbido Fiori"|"0000000001"|"0000084.68"
"#35892"|"34431317"|"00000000000000375729"|"201705005327564"|"20170824"|"1"|"RB3A014895"|"ROCKETBABY-RBP16337-Scatola Portagiochi Coniglio"|"0000000001"|"0000049.72"
"#35892"|"34431317"|"00000000000000375729"|"201705005327564"|"20170824"|"2"|"RB3A014891"|"ROCKETBABY-RBP16333-Scatola Portagiochi Flamingo"|"0000000001"|"0000049.72"
"#35891"|"34432317"|"00000000000000375559"|"201705005327341"|"20170824"|"1"|"RB3A014882"|"ROCKETBABY-RBP16345-Sacco Nanna Balena Grigio"|"0000000001"|"0000054.76"
"#35890"|"34433317"|"00000000000000375779"|"201705005327698"|"20170824"|"1"|"RB3A019671"|"BUBBLEGUM STUFF-14052-Bubblegum Stuff Babychino Sippy Cup"|"0000000001"|"0000049.86"
"#35890"|"34433317"|"00000000000000375779"|"201705005327698"|"20170824"|"2"|"RB3A010095"|"PLAY e GO-diamonds_grey-Sacco Portagiochi a Quadretti Bianco e Grigio"|"0000000001"|"0000049.86"
