"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"PO32941"|"4075217"|"20170911"|"20170912"|"PO32941"|"20170904"|"FO20170904_PO32941"|"Little Dutch"|"RB3A021373"|"LITTLE DUTCH-6174-Porta Documenti Piccolo Rosa"|"0000000002"|"0000000003"
"PO32941"|"4075217"|"20170911"|"20170912"|"PO32941"|"20170904"|"FO20170904_PO32941"|"Little Dutch"|"RB3A021375"|"LITTLE DUTCH-3490-Porta Pannolino Aerei Azzurro"|"0000000004"|"0000000004"
"PO32955"|"4078217"|"20170912"|"20170912"|"PO32955"|"20170905"|"FO20170905_PO32955"|"Toby Tiger"|"RB3A015065"|"TOBY TIGER-SLAPCAT-Tutina pigiamino gattino 6-12 mesi"|"0000000002"|"0000000002"
"PO32988"|"4076217"|"20170912"|"20170912"|"PO32988"|"20170908"|"FO20170908_PO32988"|"Bamboom"|"RB3A013134"|"BAMBOOM-104-110-005-BODY Short sleeves (shoulder opening) BIANCO-TAGLIA-18-24M"|"0000000002"|"0000000002"
"PO32988"|"4076217"|"20170912"|"20170912"|"PO32988"|"20170908"|"FO20170908_PO32988"|"Bamboom"|"RB3A013171"|"BAMBOOM-104-027-033-Coprifasciatoio per IT NEW VINTAGE 50x80cm GRIGIO E BIANCO-0"|"0000000001"|"0000000001"
"PO32941"|"4075217"|"20170911"|"20170912"|"PO32941"|"20170904"|"FO20170904_PO32941"|"Little Dutch"|"RB3A021374"|"LITTLE DUTCH-3452-Porta Pannolino Pois Grigio"|"0000000009"|"0000000009"
"PO32941"|"4075217"|"20170911"|"20170912"|"PO32941"|"20170904"|"FO20170904_PO32941"|"Little Dutch"|"RB3A021378"|"LITTLE DUTCH-3362-Accappatoio con Cappuccio e Stelle Rosa"|"0000000002"|"0000000003"
"PO32953"|"4077217"|"20170912"|"20170912"|"PO32953"|"20170905"|"FO20170905_PO32953"|"Miniland"|"RB3A020995"|"MINILAND-89160-Elefantino con Registratore Vocale BeMyBuddy"|"0000000003"|"0000000003"
"PO32955"|"4078217"|"20170912"|"20170912"|"PO32955"|"20170905"|"FO20170905_PO32955"|"Toby Tiger"|"RB3A014490"|"TOBY TIGER-SLABEAR-Pigiamino lungo a righe Orsetto 6-12 mesi"|"0000000001"|"0000000001"
"PO32955"|"4078217"|"20170912"|"20170912"|"PO32955"|"20170905"|"FO20170905_PO32955"|"Toby Tiger"|"RB3A019129"|"TOBY TIGER-TRRBLMLT-Toby Tiger Pantaloni Reversibili Blu-3-6 Mesi"|"0000000001"|"0000000001"
"PO32941"|"4075217"|"20170911"|"20170912"|"PO32941"|"20170904"|"FO20170904_PO32941"|"Little Dutch"|"RB3A021367"|"LITTLE DUTCH-6074-Cesto Contenitore Grande Stelle Rosa"|"0000000003"|"0000000006"
"PO32953"|"4077217"|"20170912"|"20170912"|"PO32953"|"20170905"|"FO20170905_PO32953"|"Miniland"|"RB3A014974"|"MINILAND-89150-WARMY PLUS ADVANCED"|"0000000003"|"0000000003"
