"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#34899"|"33202317"|"00000000000000362619"|"201705005307859"|"20170802"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#34894"|"33203317"|"00000000000000362679"|"201705005308427"|"20170802"|"1"|"RB3A012384"|"THE MAGIC DOOR STORE-0700461482451-My Pink Elf Door"|"0000000001"|"0000031.86"
"#34875"|"33204317"|"00000000000000362739"|"201705005308431"|"20170802"|"1"|"RB2000RK-RO--"|"BEBE CONFORT-85718140-Seggiolino Auto Trianos Rosso"|"0000000001"|"0000114.46"
"#34872"|"33205317"|"00000000000000363259"|"201705005308422"|"20170802"|"1"|"RB3A011636"|"BIG MOUTH-BMBTDO-Telo da mare XXL Ciambella alla Fragola"|"0000000002"|"0000092.65"
"#34872"|"33205317"|"00000000000000363259"|"201705005308422"|"20170802"|"2"|"RB3A019656"|"FUNKIT WORLD-SSP-53-Funkit World Paletta per la Sabbia in Silicone Viola"|"0000000001"|"0000092.65"
"#34872"|"33205317"|"00000000000000363259"|"201705005308422"|"20170802"|"3"|"RB3A019658"|"FUNKIT WORLD-SSP-55-Funkit World Paletta per la Sabbia in Silicone Rosa"|"0000000001"|"0000092.65"
"#34872"|"33205317"|"00000000000000363259"|"201705005308422"|"20170802"|"4"|"RB3A019653"|"FUNKIT WORLD-SBU-06-Funkit World Secchiello da Spiaggia in Silicone Viola"|"0000000001"|"0000092.65"
"#34872"|"33205317"|"00000000000000363259"|"201705005308422"|"20170802"|"5"|"RB3A019652"|"FUNKIT WORLD-SBU-05-Funkit World Secchiello da Spiaggia in Silicone Rosa"|"0000000001"|"0000092.65"
"#34872"|"33205317"|"00000000000000363259"|"201705005308422"|"20170802"|"6"|"RB3A019662"|"FUNKIT WORLD-SMR-92-Funkit World Sacca da Spiaggia in Silicone Rosa"|"0000000001"|"0000092.65"
"#34869"|"33206317"|"00000000000000363159"|""|"20170802"|"1"|"RB3A012290"|"A LITTLE LOVELY COMPANY-LTBM034-Box Lampada A4 Lightbox per scritte Verde"|"0000000001"|"0000068.12"
"#34869"|"33206317"|"00000000000000363159"|""|"20170802"|"2"|"RB3A009313"|"ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde"|"0000000001"|"0000068.12"
"#34859"|"33207317"|"00000000000000363239"|""|"20170802"|"1"|"RB3A021120"|"TOMY-LCE72378-Gioco per Bagnetto Coni Gelato"|"0000000001"|"0000059.68"
"#34859"|"33207317"|"00000000000000363239"|""|"20170802"|"2"|"RB3A010958"|"A LITTLE LOVELY COMPANY-BABA038-Palloncini Batman"|"0000000001"|"0000059.68"
"#34859"|"33207317"|"00000000000000363239"|""|"20170802"|"3"|"RB3A012346"|"CUPCAKE BABIES-VDBR06-Cappello Anti Schiuma Rosa"|"0000000001"|"0000059.68"
"#34851"|"33208317"|"00000000000000362669"|""|"20170802"|"1"|"RB3A014887"|"ROCKETBABY-RBP16350-Sacco Nanna Balena Blu"|"0000000002"|"0000093.73"
"#34843"|"33209317"|"00000000000000362919"|"201705005308390"|"20170802"|"1"|"RB3A017843"|"TYRRELL KATZ-04LU2-Monsters Lunch Bag"|"0000000001"|"0000026.86"
"#34841"|"33210317"|"00000000000000363129"|"201705005308083"|"20170802"|"1"|"RB3A008904"|"TYRRELL KATZ-Lunch Box dinosauri"|"0000000001"|"0000080.62"
"#34841"|"33210317"|"00000000000000363129"|"201705005308083"|"20170802"|"2"|"RB3A008892"|"TYRRELL KATZ-Borraccia dinosauri"|"0000000001"|"0000080.62"
"#34841"|"33210317"|"00000000000000363129"|"201705005308083"|"20170802"|"3"|"RB3A019660"|"FUNKIT WORLD-SBB-62-Funkit World Borsa da Spiaggia in Silicone Viola"|"0000000001"|"0000080.62"
"#34841"|"33210317"|"00000000000000363129"|"201705005308083"|"20170802"|"4"|"RB3A019653"|"FUNKIT WORLD-SBU-06-Funkit World Secchiello da Spiaggia in Silicone Viola"|"0000000001"|"0000080.62"
"#34841"|"33210317"|"00000000000000363129"|"201705005308083"|"20170802"|"5"|"RB3A019651"|"FUNKIT WORLD-SBU-03-Funkit World Secchiello da Spiaggia in Silicone Verde"|"0000000001"|"0000080.62"
"#34841"|"33210317"|"00000000000000363129"|"201705005308083"|"20170802"|"6"|"RB3A019656"|"FUNKIT WORLD-SSP-53-Funkit World Paletta per la Sabbia in Silicone Viola"|"0000000001"|"0000080.62"
"#34841"|"33210317"|"00000000000000363129"|"201705005308083"|"20170802"|"7"|"RB3A019657"|"FUNKIT WORLD-SSP-54-Funkit World Paletta per la Sabbia in Silicone Verde Lime"|"0000000001"|"0000080.62"
"#34839"|"33211317"|"00000000000000362639"|"201705005307853"|"20170802"|"1"|"RB3A016476"|"ROCKETBABY-RBP16361-Cesto Passeggino Coniglio"|"0000000001"|"0000023.97"
"#34835"|"33212317"|"00000000000000362929"|"201705005308389"|"20170802"|"1"|"RB3A018642"|"LITTLELIFE-L10980-Zaino Littlelife 1-3 anni Minnie"|"0000000001"|"0000052.80"
"#34833"|"33213317"|"00000000000000362499"|""|"20170802"|"1"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000094.40"
"#34832"|"33214317"|"00000000000000362559"|"201705005307884"|"20170802"|"1"|"RB3A011631"|"BIG MOUTH-BMPFPS-Materassino gonfiabile XXL Pizza"|"0000000001"|"0000029.76"
"#34623A"|"33215317"|"00000000000000363189"|"201705005308152"|"20170802"|"1"|"RB3A018147"|"ELODIE DETAILS-103150-CORDINO CIUCCIO POWDER PINK"|"0000000001"|"0000091.64"
"#34623A"|"33215317"|"00000000000000363189"|"201705005308152"|"20170802"|"2"|"RB3A020966"|"KISKISE-KK_SNS602-Seggiolone da Borsetta Rosso"|"0000000001"|"0000091.64"
"#34623A"|"33215317"|"00000000000000363189"|"201705005308152"|"20170802"|"3"|"RB3A021126"|"KIDSME-160350_LA-Food Feeder Medio - Lavanda"|"0000000001"|"0000091.64"
"#34623A"|"33215317"|"00000000000000363189"|"201705005308152"|"20170802"|"4"|"RB3A009792"|"HOBEA-4260329475286-Babbucce Cerimonia con Fiocchetto di Raso 12-18 Mesi"|"0000000001"|"0000091.64"
"#33838A"|"33216317"|"00000000000000363079"|"201705005308380"|"20170802"|"1"|"RB3A021009"|"MOUTHIE MITTEN-MM04A-EU-Guantino Massaggia Gengive per la Dentizione Aqua"|"0000000001"|"0000092.68"
"#33838A"|"33216317"|"00000000000000363079"|"201705005308380"|"20170802"|"2"|"RB3A020791"|"CUDDLEDRY-CRR01-Accappatoio Dinosauro CuddleRoar"|"0000000001"|"0000092.68"
"#33838A"|"33216317"|"00000000000000363079"|"201705005308380"|"20170802"|"3"|"RB3A012484"|"ZOLI-ZL-BC15CGBW02-Chubby Gummy blu e bianco"|"0000000001"|"0000092.68"
"#34820"|"33217317"|"00000000000000363059"|"201705005308383"|"20170802"|"1"|"RB3A014887"|"ROCKETBABY-RBP16350-Sacco Nanna Balena Blu"|"0000000001"|"0000075.68"
"#34820"|"33217317"|"00000000000000363059"|"201705005308383"|"20170802"|"2"|"RB3A021134"|"KIDSME-9655-Accessorio per la Dentizione Ghiacciolo Moo Moo"|"0000000001"|"0000075.68"
"#34820"|"33217317"|"00000000000000363059"|"201705005308383"|"20170802"|"3"|"RB3A021127"|"KIDSME-160350_AQ-Food Feeder Medio - Acquamarina"|"0000000001"|"0000075.68"
"#34789"|"33218317"|"00000000000000362369"|"201705005308341"|"20170802"|"1"|"RB3A021094"|"FREDS SWIM ACADEMY-10110-Ciambella Salvagente Rossa"|"0000000001"|"0000028.86"
"#34782"|"33219317"|"00000000000000362379"|"201705005308340"|"20170802"|"1"|"RB3A021094"|"FREDS SWIM ACADEMY-10110-Ciambella Salvagente Rossa"|"0000000001"|"0000028.86"
"#34758"|"33220317"|"00000000000000362529"|"201705005307913"|"20170802"|"1"|"RB3A012346"|"CUPCAKE BABIES-VDBR06-Cappello Anti Schiuma Rosa"|"0000000002"|"0000027.72"
"#34707"|"33221317"|"00000000000000363289"|"201705005308339"|"20170802"|"1"|"RB3A021094"|"FREDS SWIM ACADEMY-10110-Ciambella Salvagente Rossa"|"0000000001"|"0000028.86"
"#34693"|"33222317"|"00000000000000362819"|"201705005308410"|"20170802"|"1"|"RB3A021005"|"CUP CATCHER-CC08CL-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Corallo"|"0000000001"|"0000040.82"
"#34693"|"33222317"|"00000000000000362819"|"201705005308410"|"20170802"|"2"|"RB3A021007"|"CUP CATCHER-CC12NB-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Blu"|"0000000001"|"0000040.82"
"#34677"|"33223317"|"00000000000000362879"|"201705005308426"|"20170802"|"1"|"RB3A021007"|"CUP CATCHER-CC12NB-Cordino salva Bottiglie e Gioco per la Dentizione 2 in 1 Blu"|"0000000001"|"0000057.68"
