"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
""|"3845217"|"20170803"|"20170803"|""|"00000000"|"FO20170424_PO32109"|"Funkit World"|"RB3A019659"|"FUNKIT WORLD-SBB-61-Funkit World Borsa da Spiaggia in Silicone Rosa"|"0000000000"|"0000000001"
"PO32720"|"3844217"|"20170803"|"20170803"|"PO32720"|"20170720"|"FO20170720_PO32720"|"Charlie Banana"|"RB3A020821"|"CHARLIE BANANA-889522-Costumino Pannolino e Mutandina Trainer 2 in 1 Lovey Dovey-L"|"0000000002"|"0000000002"
"PO32753"|"3834217"|"20170803"|"20170803"|"PO32753"|"20170725"|"FO20170725_PO32753"|"Done By Deer"|"RB3A019472"|"DONE BY DEER-40621-Palestrina Gioco Rosa"|"0000000001"|"0000000001"
"PO32755"|"3835217"|"20170803"|"20170803"|"PO32755"|"20170725"|"FO20170725_PO32755"|"MAKE MY DAY"|"RB3A019488"|"MAKE MY DAY-BB108-Bavaglia in silicone - Lilac"|"0000000002"|"0000000002"
"PO32755"|"3835217"|"20170803"|"20170803"|"PO32755"|"20170725"|"FO20170725_PO32755"|"MAKE MY DAY"|"RB3A019492"|"MAKE MY DAY-BB113-Bavaglia in silicone - Monkey"|"0000000002"|"0000000002"
"PO32755"|"3835217"|"20170803"|"20170803"|"PO32755"|"20170725"|"FO20170725_PO32755"|"MAKE MY DAY"|"RB3A019605"|"MAKE MY DAY-BB107-Bavaglia in silicone - Black Tuxedo"|"0000000002"|"0000000002"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019833"|"SKIP HOP-212312-Trolley Zoo-UNICORNO"|"0000000004"|"0000000004"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019842"|"SKIP HOP-235100-Moby -COLORE UNICO"|"0000000010"|"0000000010"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019844"|"SKIP HOP-235505-Moby Knee- BALENOTTERA"|"0000000002"|"0000000002"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019845"|"SKIP HOP-235250-Zoo Telo Bagno- COCCINELLA"|"0000000001"|"0000000001"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019846"|"SKIP HOP-235253-Zoo Telo Bagno- GUFO"|"0000000001"|"0000000001"
"PO32767"|"3842217"|"20170803"|"20170803"|""|"00000000"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019850"|"SKIP HOP-245012-Play Spot GEO - GRIGIO/CREMA"|"0000000000"|"0000000001"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019859"|"SKIP HOP-252121-Zoo Bowl - FARFALLA"|"0000000001"|"0000000001"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019867"|"SKIP HOP-252169-Zoo Divided Plate - UNICORNO"|"0000000002"|"0000000002"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019872"|"SKIP HOP-252304-Bottiglia da Viaggio con cannuccia-GUFO"|"0000000003"|"0000000003"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019874"|"SKIP HOP-252332-Bottiglia da Viaggio con cannuccia-UNICORNO"|"0000000008"|"0000000006"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019876"|"SKIP HOP-252219-Set Piatto + Ciotola - RICCIO"|"0000000003"|"0000000003"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019878"|"SKIP HOP-252203-Set Piatto + Ciotola - GUFO"|"0000000002"|"0000000002"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019883"|"SKIP HOP-252476-Contenitore Lunch KIT - SCIMMIA"|"0000000001"|"0000000001"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019886"|"SKIP HOP-252050-Tovaglietta Pappa in Silicone - GUFO"|"0000000001"|"0000000001"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019887"|"SKIP HOP-252051-Tovaglietta Pappa in Silicone - SCIMMIA"|"0000000002"|"0000000002"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019889"|"SKIP HOP-252057-Tovaglietta Pappa in Silicone - FARFALLA"|"0000000001"|"0000000001"
"PO32767"|"3842217"|"20170803"|"20170803"|"PO32767"|"20170726"|"FO20170726_PO32767"|"Skip Hop"|"RB3A019892"|"SKIP HOP-307155-Nuvola per passeggino"|"0000000001"|"0000000001"
"PO32773"|"3846217"|"20170803"|"20170803"|"PO32773"|"20170726"|"FO20170726_PO32773"|"Beatrix NY"|"RB3A008459"|"BEATRIX NY-BEA0003.NI-Zaino piccolo Squalo Nigel"|"0000000002"|"0000000002"
"PO32773"|"3846217"|"20170803"|"20170803"|"PO32773"|"20170726"|"FO20170726_PO32773"|"Beatrix NY"|"RB3A008466"|"BEATRIX NY-BEA0001.PA-Zaino grande Gufo Papar"|"0000000002"|"0000000002"
"PO32773"|"3846217"|"20170803"|"20170803"|"PO32773"|"20170726"|"FO20170726_PO32773"|"Beatrix NY"|"RB3A008478"|"BEATRIX NY-BEA0002.PA-Porta Tablet Gufo Papar"|"0000000001"|"0000000001"
"PO32777"|"3843217"|"20170803"|"20170803"|"PO32777"|"20170727"|"FO20170727_PO32777"|"Charlie Banana"|"RB3A020825"|"CHARLIE BANANA-8870115-Costumino Pannolino Coni Gelato-L"|"0000000001"|"0000000001"
"PO32778"|"3837217"|"20170803"|"20170803"|"PO32778"|"20170727"|"FO20170727_PO32778"|"Oli and Carol"|"RB3A019784"|"OLI AND CAROL-DSM-G-PAPERA SMALL MONOCROME VERDE"|"0000000001"|"0000000001"
"PO32778"|"3837217"|"20170803"|"20170803"|"PO32778"|"20170727"|"FO20170727_PO32778"|"Oli and Carol"|"RB3A019785"|"OLI AND CAROL-VTAN-SH-ANIMALI VINTAGE CAVALLUCCIO MARINO"|"0000000001"|"0000000001"
"PO32778"|"3837217"|"20170803"|"20170803"|"PO32778"|"20170727"|"FO20170727_PO32778"|"Oli and Carol"|"RB3A019786"|"OLI AND CAROL-VTAN-BU-ANIMALI VINTAGE CONIGLIO"|"0000000001"|"0000000001"
"PO32778"|"3837217"|"20170803"|"20170803"|"PO32778"|"20170727"|"FO20170727_PO32778"|"Oli and Carol"|"RB3A019792"|"OLI AND CAROL-OB-V-BARCA ORIGAMI VANIGLIA"|"0000000002"|"0000000002"
"PO32778"|"3837217"|"20170803"|"20170803"|"PO32778"|"20170727"|"FO20170727_PO32778"|"Oli and Carol"|"RB3A020914"|"OLI AND CAROL-DSM-M-PAPERA SMALL MONOCROME MENTA"|"0000000001"|"0000000001"
"PO32778"|"3837217"|"20170803"|"20170803"|"PO32778"|"20170727"|"FO20170727_PO32778"|"Oli and Carol"|"RB3A020917"|"OLI AND CAROL-DSW-P-PAPERA SMALL DOTS ROSA"|"0000000002"|"0000000002"
"PO32778"|"3837217"|"20170803"|"20170803"|"PO32778"|"20170727"|"FO20170727_PO32778"|"Oli and Carol"|"RB3A020920"|"OLI AND CAROL-ANA-S-ANA LA BANANA"|"0000000002"|"0000000003"
"PO32779"|"3838217"|"20170803"|"20170803"|"PO32779"|"20170727"|"FO20170727_PO32779"|"Wooly Organic"|"RB3A019801"|"WOOLY ORGANIC-106-COMFORTER - Teddy"|"0000000001"|"0000000001"
"PO32779"|"3838217"|"20170803"|"20170803"|"PO32779"|"20170727"|"FO20170727_PO32779"|"Wooly Organic"|"RB3A019805"|"WOOLY ORGANIC-301-CRINKLE con anello legno - Bunny"|"0000000001"|"0000000001"
"PO32779"|"3838217"|"20170803"|"20170803"|"PO32779"|"20170727"|"FO20170727_PO32779"|"Wooly Organic"|"RB3A019806"|"WOOLY ORGANIC-107-TRIANGOLO bagnetto - Teddy"|"0000000001"|"0000000001"
"PO32779"|"3838217"|"20170803"|"20170803"|"PO32779"|"20170727"|"FO20170727_PO32779"|"Wooly Organic"|"RB3A019807"|"WOOLY ORGANIC-207-TRIANGOLO bagnetto - Bunny"|"0000000001"|"0000000001"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A019981"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-20"|"0000000001"|"0000000001"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A019984"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-23"|"0000000001"|"0000000001"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A019987"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-26"|"0000000001"|"0000000001"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A019994"|"IGOR SHOES-S10108-003-Sandali da Spiaggia Cholo Blu Navy-33"|"0000000001"|"0000000001"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A020015"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-18"|"0000000002"|"0000000002"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A020017"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-20"|"0000000001"|"0000000001"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A020018"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-21"|"0000000001"|"0000000001"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A020019"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-22"|"0000000002"|"0000000002"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A020020"|"IGOR SHOES-S10108-090-Sandali da Spiaggia Cholo Rosa-23"|"0000000002"|"0000000002"
"PO32781"|"3836217"|"20170803"|"20170803"|"PO32781"|"20170727"|"FO20170727_PO32781"|"Igor Shoes"|"RB3A020065"|"IGOR SHOES-S10100-038-Sandali da Spiaggia Peppa Pig-22"|"0000000001"|"0000000001"
