"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#34595A"|"33325317"|"00000000000000363529"|"201705005309225"|"20170803"|"1"|"RB3A014883"|"ROCKETBABY-RBP16346-Sacco Nanna Balena Blu Oceano"|"0000000001"|"0000054.76"
"#34902"|"33340317"|"00000000000000363769"|"201705005309259"|"20170803"|"1"|"RB3A021119"|"TOMY-LCE72548-Gioco per Bagnetto Medusa"|"0000000001"|"0000029.76"
"#34923"|"33346317"|"00000000000000363519"|"201705005309256"|"20170803"|"1"|"RB3A014102"|"NIKE-454501-PICO 4 (TDV) NERA 7C-EU23.5"|"0000000001"|"0000000.00"
"#34923"|"33346317"|"00000000000000363519"|"201705005309256"|"20170803"|"2"|"RB3A018686"|"NEW BALANCE-NBFS996ASI-Scarpa New Balance Kids Lifestyle in Tessuto Sintetico Beige-7"|"0000000001"|"0000000.00"
"#34906"|"33350317"|"00000000000000363779"|"201705005309156"|"20170803"|"1"|"RB3A021191"|"LA MILLOU PARENTS PRIDE-HAT-G-BP-Cappellino da Sole Blue Pinapple"|"0000000001"|"0000000.00"
"#34594A"|"33355317"|"00000000000000363879"|"201705005309344"|"20170803"|"1"|"RB3A014884"|"ROCKETBABY-RBP16347-Sacco Nanna Balena Verde Menta"|"0000000001"|"0000000.00"
"#34942"|"33362317"|"00000000000000363549"|"201705005309217"|"20170803"|"1"|"RB3A014891"|"ROCKETBABY-RBP16333-Scatola Portagiochi Flamingo"|"0000000001"|"0000000.00"
"#34942"|"33362317"|"00000000000000363549"|"201705005309217"|"20170803"|"2"|"RB3A021228"|"NEW BALANCE-NBFS996VSI-Scarpa Kids Lifestyle VIOLET Synthetic-6"|"0000000001"|"0000000.00"
"#34907"|"33371317"|"00000000000000363789"|"201705005309330"|"20170803"|"1"|"RB3A021202"|"STICKY BELLIES-343-Calendario a Cubotti Rosa"|"0000000001"|"0000000.00"
"#34907"|"33371317"|"00000000000000363789"|"201705005309330"|"20170803"|"2"|"RB3A021203"|"STICKY BELLIES-344-Calendario a Cubotti Blu"|"0000000001"|"0000000.00"
"#34932"|"33332317"|"00000000000000363729"|"201705005309165"|"20170803"|"1"|"RB3A021008"|"MOUTHIE MITTEN-MM05P-EU-Guantino Massaggia Gengive per la Dentizione Rosa"|"0000000001"|"0000026.86"
"#34928"|"33333317"|"00000000000000363829"|"201705005308986"|"20170803"|"1"|"RB3A021222"|"NEW BALANCE-NBKL574CPC-Scarpa Kids Lifestyle PINK Leather W-3"|"0000000001"|"0000036.86"
"#34915"|"33336317"|"00000000000000363809"|"201705005308999"|"20170803"|"1"|"RB3A021217"|"NEW BALANCE-NBKL574CBC-Scarpa Kids Lifestyle GREY/BLUE Leather M-1"|"0000000001"|"0000036.86"
"#34937"|"33345317"|"00000000000000363439"|"201705005309188"|"20170803"|"1"|"RB3A021134"|"KIDSME-9655-Accessorio per la Dentizione Ghiacciolo Moo Moo"|"0000000001"|"0000000.00"
"#34937"|"33345317"|"00000000000000363439"|"201705005309188"|"20170803"|"2"|"RB3A012321"|"MBW-MPA31195-Papera da Bagno Rosa"|"0000000001"|"0000000.00"
"#34937"|"33345317"|"00000000000000363439"|"201705005309188"|"20170803"|"5"|"RB3A020240"|"NUOTA CON FLIPPER-2000994052083-ROSSO-Ciambella Collo Rossa"|"0000000001"|"0000000.00"
"#34937"|"33345317"|"00000000000000363439"|"201705005309188"|"20170803"|"4"|"RB3A019652"|"FUNKIT WORLD-SBU-05-Funkit World Secchiello da Spiaggia in Silicone Rosa"|"0000000001"|"0000000.00"
"#34937"|"33345317"|"00000000000000363439"|"201705005309188"|"20170803"|"3"|"RB3A019658"|"FUNKIT WORLD-SSP-55-Funkit World Paletta per la Sabbia in Silicone Rosa"|"0000000001"|"0000000.00"
"#34937"|"33345317"|"00000000000000363439"|"201705005309188"|"20170803"|"6"|"RB3A021094"|"FREDS SWIM ACADEMY-10110-Ciambella Salvagente Rossa"|"0000000001"|"0000000.00"
"#34620A"|"33354317"|"00000000000000363539"|"201705005309221"|"20170803"|"1"|"RB3A014885"|"ROCKETBABY-RBP16348-Sacco Nanna Balena Rosa"|"0000000001"|"0000000.00"
"#33839A"|"33357317"|"00000000000000363649"|"201705005309187"|"20170803"|"1"|"RB3A019705"|"SUAVINEX-3162383-SPAZZOLA E PETTINE ROSA NEW"|"0000000001"|"0000000.00"
"#33839A"|"33357317"|"00000000000000363649"|"201705005309187"|"20170803"|"2"|"RB3A020977"|"BUGGYGEAR-BSUNCPINK-STROLLER SUNVISOR UPF50 - PINK PETALS"|"0000000001"|"0000000.00"
"#34941"|"33363317"|"00000000000000363889"|"201705005309428"|"20170803"|"1"|"RB20012R"|"Duux-DUBP01P-Proiettore per Bambini Rosa"|"0000000001"|"0000000.00"
"#34269A"|"33326317"|"00000000000000363419"|"201705005309210"|"20170803"|"1"|"RB3A011618"|"BIG MOUTH-BMPFGBG-Ciambellone gonfiabile XXL Orsetto Verde"|"0000000001"|"0000083.64"
