"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#35310"|"33736317"|"00000000000000367989"|"201705005316729"|"20170809"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#35309"|"33737317"|"00000000000000368169"|"201705005316794"|"20170809"|"1"|"RB3A017731"|"BLOOMING BATH-004019-Vasca A Fiore Per Il Bagnetto Fucsia"|"0000000001"|"0000057.70"
"#35306"|"33738317"|"00000000000000367959"|"201705005316720"|"20170809"|"1"|"RB3A014024"|"NIKE-454478-PICO 4 (TDV) ROSA 6C-EU22"|"0000000001"|"0000033.80"
"#35304"|"33739317"|"00000000000000368529"|"201705005316987"|"20170809"|"1"|"RB3A019771"|"BIG MOUTH-BMBT-SB-Beach Blanket Strawberry 1.5m NEW"|"0000000001"|"0000022.17"
"#35300"|"33740317"|"00000000000000367859"|"201705005316675"|"20170809"|"1"|"RB3A007737"|"COQ EN PATE-L13ESACRUKMBLIO-Sacca Leone"|"0000000001"|"0000020.86"
"#35297"|"33741317"|"00000000000000368029"|"201705005316751"|"20170809"|"1"|"RB3A018197"|"ELODIE DETAILS-103786-MATERASSINO DA PASSEGGINO POWDER PINK"|"0000000001"|"0000039.77"
"#35290"|"33742317"|"00000000000000368159"|"201705005316795"|"20170809"|"1"|"RB3A018700"|"NEW BALANCE-NBKV574WTI-Scarpa New Balance Kids Lifestyle in Pelle Grigio/Azzurro-7"|"0000000001"|"0000047.76"
"#35288"|"33743317"|"00000000000000368089"|"201705005316755"|"20170809"|"1"|"RB3A021094"|"FREDS SWIM ACADEMY-10110-Ciambella Salvagente Rossa"|"0000000001"|"0000028.86"
"#35285"|"33744317"|"00000000000000367979"|"201705005316732"|"20170809"|"1"|"RB3A016475"|"ROCKETBABY-RBP16360-Cesto Passeggino Narvalo"|"0000000001"|"0000025.86"
"#35280"|"33745317"|"00000000000000368539"|"201705005316989"|"20170809"|"1"|"RB3A018233"|"CHILDHOME-CWMBBWH-BORSA FASCIATOIO MAMMY BAG BIANCA"|"0000000001"|"0000115.16"
"#35277"|"33746317"|"00000000000000367869"|"201705005316679"|"20170809"|"1"|"RB3A021095"|"FREDS SWIM ACADEMY-10220-Ciambella Salvagente Arancione"|"0000000001"|"0000050.82"
