"RicNumero"|"RicProtocollo"|"RicData"|"RicDataConsegna"|"RicOrdineNumero"|"RicOrdineData"|"RicCodiceFornitore"|"RicRagSocFornitore"|"RicAnaArtCodice"|"RicAnaArtDescrizione"|"RicQuantitaOrdinata"|"RicQuantitaRicevuta"
"RESO ORD. 33633"|"3919217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A021011"|"MOUTHIE MITTEN-MM02P-EU-Guantino Massaggia Gengive per la Dentizione Viola"|"0000000000"|"0000000001"
"RESO ORD. 33638"|"3918217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020966"|"KISKISE-KK_SNS602-Seggiolone da Borsetta Rosso"|"0000000000"|"0000000001"
"RESO ORD. 33839"|"3921217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A019705"|"SUAVINEX-3162383-SPAZZOLA E PETTINE ROSA NEW"|"0000000000"|"0000000001"
"RESO ORD. 33839"|"3921217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020977"|"BUGGYGEAR-BSUNCPINK-STROLLER SUNVISOR UPF50 - PINK PETALS"|"0000000000"|"0000000001"
"RESO ORD. 34186"|"3913217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A007850"|"LIMOBASICS-09509R_AZM_74-80-Culotte blu navy AZM"|"0000000000"|"0000000001"
"RESO ORD. 34186"|"3913217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A019654"|"FUNKIT WORLD-SMO-41-Funkit World Formine per la Sabbia in Silicone Blu"|"0000000000"|"0000000001"
"RICARICO ORD 33538A"|"3903217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020001"|"IGOR SHOES-S10108-017-Sandali da Spiaggia Cholo Grigio-22"|"0000000000"|"0000000001"
"RICARICO ORD 35215A"|"3902217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020821"|"CHARLIE BANANA-889522-Costumino Pannolino e Mutandina Trainer 2 in 1 Lovey Dovey-L"|"0000000000"|"0000000001"
"PO32834"|"3904217"|"20170810"|"20170810"|"PO32834"|"20170803"|"FO20170803_PO32834"|"elodie details"|"RB3A010141"|"ELODIE DETAILS-103847-Cesto Contenitore Colori del Vento"|"0000000003"|"0000000003"
"RESO ORD. 33391"|"3914217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020977"|"BUGGYGEAR-BSUNCPINK-STROLLER SUNVISOR UPF50 - PINK PETALS"|"0000000000"|"0000000001"
"RESO ORD. 33553"|"3909217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A021077"|"WE MIGHT BE TINY-WB-BC-004-Tovaglietta in Silicone Gatto Menta"|"0000000000"|"0000000001"
"RESO ORD. 33638"|"3918217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A015684"|"BLOOMINGVILLE-62253522-Grembiule da cucina azzurro"|"0000000000"|"0000000001"
"RESO ORD. 33643"|"3923217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A019844"|"SKIP HOP-235505-Moby Knee- BALENOTTERA"|"0000000000"|"0000000001"
"RESO ORD. 33839"|"3921217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A017139"|"NOPPIES-6395701-Reggiseno Allattamento Bianco M-L"|"0000000000"|"0000000001"
"RESO ORD. 34186"|"3913217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A019650"|"FUNKIT WORLD-SBU-01-Funkit World Secchiello da Spiaggia in Silicone Blu"|"0000000000"|"0000000001"
"RESO ORD. 34259"|"3920217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A012950"|"HAPPY HOPPERZ-HHZ09-Gonfiabile Cavalcabile Medium Toro Blu"|"0000000000"|"0000000001"
"RESO ORD. 34280"|"3922217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A008327"|"COQ EN PATE-L13EACCBOBMBBALCappellino Balena S (6-18 mesi)"|"0000000000"|"0000000001"
"RICARICO ORD 35215A"|"3902217"|"20170810"|"20170810"|""|"00000000"|"00002"|"ROCKETBABY"|"RB3A020078"|"IGOR SHOES-S10107-073-Sandali da Spiaggia Tenis Fucsia-22"|"0000000000"|"0000000001"
