"SPE.SpeNumeroOrdine"|"SPE.SpeNumeroProtocollo"|"SPE.SpeEtichettaCollo"|"SPE.SpeTrackingNumero"|"SPE.SpeDataImport"|"SPE.SpeRigaOrdine"|"SPE.SpeArtCodice"|"SPE.SpeArtDescrizione"|"SPE.SpeArtQta"|"SPE,SpeCostoContrassegno"
"#31053A"|"30922317"|"335199"|"201705005270005"|"20170630"|"4"|"RB3A018662"|"LOLLIPOPS AND MORE-2952349927136-Lollipops and More Pacifier Tootsie Roll Clip Navy"|"1"|"0"
"#31053A"|"30922317"|"335199"|"201705005270005"|"20170630"|"5"|"RB3A019785"|"OLI AND CAROL-VTAN-SH-ANIMALI VINTAGE CAVALLUCCIO MARINO"|"1"|"0"
"#31053A"|"30922317"|"335199"|"201705005270005"|"20170630"|"2"|"RB3A018378"|"KUK-F115-58-Set 2 Teli Multiuso  Ananas Antracite 70 x 60-70 x 60 cm"|"1"|"0"
"#31053A"|"30922317"|"335199"|"201705005270005"|"20170630"|"7"|"RB3A020243"|"NUOTA CON FLIPPER-2000994052083-CELESTE-Ciambella Collo Azzurra"|"1"|"0"
"#31053A"|"30922317"|"335199"|"201705005270005"|"20170630"|"3"|"RB3A018382"|"KUK-F115-26-Set 2 Teli Multiuso  Balena Grigio 70 x 60-70 x 60 cm"|"1"|"0"
"#31053A"|"30922317"|"335199"|"201705005270005"|"20170630"|"8"|"RB3A020739"|"BUMBO-BMB401-Rialzo da Pavimento e Rialzo da Sedia 2 in 1 Blu"|"1"|"0"
"#31053A"|"30922317"|"335199"|"201705005270005"|"20170630"|"6"|"RB3A012355"|"CUPCAKE BABIES-CCBBT02-Set Baby Bath 2 in 1 Turchese"|"1"|"0"
"#32032"|"30863317"|"334369"|"201705005270010"|"20170630"|"1"|"RB3A010041"|"CHILDHOME-CWRSP-Dondolo a forma di Vespa Rosa"|"1"|"0"
"#32091"|"30925317"|"335259"|"201705005269997"|"20170630"|"5"|"RB3A012527"|"BLOOMINGVILLE-75111059-Cuscino Nuvoletta verde"|"1"|"0"
"#32091"|"30925317"|"335259"|"201705005269997"|"20170630"|"6"|"RB3A009390"|"ELODIE DETAILS-103134-Cordoncino Ciuccio - Apple of my eye"|"1"|"0"
"#32091"|"30925317"|"335259"|"201705005269997"|"20170630"|"1"|"RB3A012801"|"TELLKIDDO-52-Sacco Portaoggetti Canvas Toys"|"1"|"0"
"#32016"|"30931317"|"334359"|"201705005270014"|"20170630"|"1"|"RB3A010040"|"CHILDHOME-CWRSMB-Dondolo a forma di Vespa Blu Menta"|"1"|"0"
"#31660"|"30965317"|"335039"|"201705005270002"|"20170630"|"2"|"RB3A013131"|"BAMBOOM-104-000-117-BODY Short sleeves (front opening) BIANCO-TAGLIA-3M"|"1"|"142,82"
"#31660"|"30965317"|"335039"|"201705005270002"|"20170630"|"1"|"RB3A019808"|"SKIP HOP-185510-Giostrina con Proiettore"|"1"|"142,82"
"#31640"|"30966317"|"335019"|"201705005270007"|"20170630"|"1"|"RB3A015633"|"BABYZEN-3760222211444-YO YO Color Pack Taupe dai 6 mesi"|"1"|"461,42"
"#31640"|"30966317"|"335019"|"201705005270007"|"20170630"|"5"|"RB3A019955"|"MIAMI KIDS-S15901A-LIGHTBLUE-Sneaker Slip on Baby Azzurro-25"|"1"|"461,42"
"#31640"|"30966317"|"335019"|"201705005270007"|"20170630"|"2"|"RB3A015628"|"BABYZEN-3760222211192-YO YO Telaio nero"|"1"|"461,42"
"#31640"|"30966317"|"335019"|"201705005270007"|"20170630"|"3"|"RB3A020266"|"DAIKOS-SQD217TU50-Pinna da Squalo Rossa"|"1"|"461,42"
"#32652"|"30782317"|"334579"|"201705005270009"|"20170630"|"1"|"RB3A015256"|"4MOMS-MO0150053290 -Sdraietta Elettrica BounceRoo Multi"|"1"|"194,5"
"#31969"|"30866317"|"336409"|"201705005270039"|"20170630"|"3"|"RB3A019849"|"SKIP HOP-235465-Moby Smart Vasca da Bagno - COLORE UNICO"|"1"|"0"
"#31969"|"30866317"|"336409"|"201705005270039"|"20170630"|"2"|"RB3A020868"|"LA MILLOU PARENTS PRIDE-AW-WM-SY-Supporto Ergonomico per la Testa Balena Bianca"|"1"|"0"
"#31969"|"30866317"|"336409"|"201705005270039"|"20170630"|"1"|"RB3A020875"|"LA MILLOU PARENTS PRIDE-PIG-LM-NV-Cuscino Porcellino La Mobile"|"1"|"0"
"#25104"|"23222317"|"112233"|"201705005091603"|"20170228"|"1"|"RB2000JU-VP-M2-CO"|"LIMOBASICS-09519R 62 gra-Body Kimono a Manica Lunga"|"1"|"0"
"#25104"|"23222317"|"112233"|"201705005091603"|"20170228"|"2"|"RB2000JU-FU-M2-CO"|"LIMOBASICS-09519R 62 fuc-Body Kimono a Manica Lunga"|"1"|"0"
