"SimEsiExpIDSimulazione"|"SimEsiExpDataSimulazione"|"SimEsiExpNumeroOrdine"|"SimEsiExpDataOrdine"|"SimEsiExpRigaOrdine"|"SimEsiExpRichArtCodice"|"SimEsiExpRichArtDescrizione"|"SimEsiExpRichQtaRichiesta"|"SimEsiExpRichQtaImpegnata"
"0000000535"|"20170822"|"#35728"|"20170820"|"0000000001"|"RB3A010025"|"CHILDHOME-WODSTRM-Carrettino Primi Passi in MDF Menta"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35764"|"20170820"|"0000000001"|"RB3A021135"|"BUGGYGEAR-BHRTHKRED-HEART SHAPED STROLLER HOOK - SILVER/RED"|"0000000002"|"0000000000"
"0000000535"|"20170822"|"#35761"|"20170820"|"0000000001"|"RB3A010080"|"CHILDHOME-HCLCN-Seggiolone Lambda 2Legno Natural"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35758"|"20170820"|"0000000001"|"RB3A018233"|"CHILDHOME-CWMBBWH-BORSA FASCIATOIO MAMMY BAG BIANCA"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35785"|"20170820"|"0000000001"|"RB3A018232"|"CHILDHOME-CWMBBBL-BORSA FASCIATOIO MAMMY BAG NERA"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35549"|"20170818"|"0000000001"|"RB3A015201"|"INNOBABY-IN-AQ-H01-Innobaby - AquaHeat - WARM Heat Pack - set of 6"|"0000000002"|"0000000000"
"0000000535"|"20170822"|"#35521"|"20170818"|"0000000001"|"RB3A020970"|"KISKISE-KK_SNS611-Seggiolone da Borsetta Multicolor"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35435"|"20170818"|"0000000001"|"RB3A015626"|"JET KIDS- BEDBOX RED-Lettino da viaggio treno e aereo rosso"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35533"|"20170818"|"0000000001"|"RB3A018777"|"NOPPIES-74371-Noppies Cappello da Sole a Coriandoli Baby-0-3 Mesi"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35564"|"20170818"|"0000000001"|"RB3A015243"|"HOBEA-4057257002932-Coperta Ovetto in Pile grigia a pois"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35562"|"20170818"|"0000000001"|"RB3A021141"|"CHILDHOME-CHSBMLW-Chiudi Ante Bianco"|"0000000007"|"0000000000"
"0000000535"|"20170822"|"#35528"|"20170818"|"0000000001"|"RB3A020243"|"NUOTA CON FLIPPER-2000994052083-CELESTE-Ciambella Collo Azzurra"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35591"|"20170818"|"0000000001"|"RB3A017876"|"PLAY e GO-Color_your_map-Sacco Portagiochi Da Colorare"|"0000000002"|"0000000000"
"0000000535"|"20170822"|"#35610"|"20170818"|"0000000001"|"RB3A009975"|"CHILDHOME-CCPMSCMG-Tappeto da gioco imbottito Grigio con Nuvole 80x100"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35665"|"20170818"|"0000000001"|"RB3A020970"|"KISKISE-KK_SNS611-Seggiolone da Borsetta Multicolor"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35515"|"20170818"|"0000000001"|"RB3A010067"|"CHILDHOME-CHEVOSCMA-Cuscino per Seggiolone Evolu 2 Navy"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35701"|"20170818"|"0000000001"|"RB3A017489"|"EFFII-5901832944683-Cuscino Allattamento Luna Verde Menta XXL"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35684"|"20170818"|"0000000001"|"RB3A009734"|"HOBEA-4260329478751-Cuscino da allattamento Elefanti"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35661"|"20170818"|"0000000001"|"RB3A020995"|"MINILAND-89160-Elefantino con Registratore Vocale BeMyBuddy"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35567"|"20170818"|"0000000001"|"RB3A010038"|"CHILDHOME-CWRSCR-Dondolo a forma di Vespa Crema"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35437"|"20170818"|"0000000001"|"RB3A020444"|"IGOR SHOES-S10104-022-Sandali Ragnetto Tobby Rosa-20"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35508"|"20170818"|"0000000001"|"RB3A019470"|"DONE BY DEER-20571-Nido della Tenerezza Rosa"|"0000000001"|"0000000000"
"0000000535"|"20170822"|"#35704"|"20170818"|"0000000002"|"RB3A013043"|"BAMBOOM-104-047-026-STAR TO HUG NEW VINTAGE with soother loop GRIGIO BIANCO"|"0000000001"|"0000000000"
