"SpeNumeroOrdine"|"SpeNumeroProtocollo"|"SpeEtichettaCollo"|"SpeTrackingNumero"|"SpeDataImport"|"SpeRigaOrdine"|"SpeArtCodice"|"SpeArtDescrizione"|"SpeArtQta"|"SpeCostoContrassegno"
"#36542"|"35046317"|"00000000000000382389"|"201705005344126"|"20170906"|"1"|"RB3A009312"|"ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte"|"0000000001"|"0000025.86"
"#36538"|"35047317"|"00000000000000382139"|"201705005344254"|"20170906"|"1"|"RB3A014985"|"AQUASCALE-84231090-Vaschetta digitale con bilancia incorporata"|"0000000001"|"0000094.40"
"#36535"|"35048317"|"00000000000000382479"|"201705005344145"|"20170906"|"1"|"RB3A014100"|"NIKE-454501-PICO 4 (TDV) NERA 6C-EU22"|"0000000001"|"0000048.76"
"#36535"|"35048317"|"00000000000000382479"|"201705005344145"|"20170906"|"2"|"RB3A021303"|"STEPHEN JOSEPH-SJ109099-Zainetto piccolo scimmia"|"0000000001"|"0000048.76"
"#36521"|"35049317"|"00000000000000382459"|"201705005344143"|"20170906"|"1"|"RB3A019977"|"BABY BANANA BRUSH-CORN001-Corn Cornelius"|"0000000001"|"0000057.66"
"#36521"|"35049317"|"00000000000000382459"|"201705005344143"|"20170906"|"2"|"RB3A012453"|"AFFENZAHN-AFZ-FAS-001-010-Zaino Baby Henni Rabbit"|"0000000001"|"0000057.66"
"#36519"|"35050317"|"00000000000000382369"|"201705005344121"|"20170906"|"1"|"RB3A009313"|"ROCKETBABY-RBP15100302-Cesto per Passeggino Elefante Verde"|"0000000001"|"0000025.86"
"#36510"|"35051317"|"00000000000000382259"|"201705005344206"|"20170906"|"1"|"RB3A021129"|"KIDSME-160361_AQ-Food Feeder Plus - Acquamarina"|"0000000001"|"0000021.86"
"#36509"|"35052317"|"00000000000000382329"|"201705005344171"|"20170906"|"1"|"RB3A014884"|"ROCKETBABY-RBP16347-Sacco Nanna Balena Verde Menta"|"0000000001"|"0000054.76"
"#36508"|"35053317"|"00000000000000382359"|"201705005344118"|"20170906"|"1"|"RB3A009314"|"ROCKETBABY-RBP15100303-Cesto per Passeggino Riccio"|"0000000001"|"0000025.86"
"#36506"|"35054317"|"00000000000000382399"|"201705005344182"|"20170906"|"1"|"RB3A021125"|"KIDSME-160337_AQ-Food Feeder Grande - Acquamarina"|"0000000001"|"0000028.82"
"#36506"|"35054317"|"00000000000000382399"|"201705005344182"|"20170906"|"2"|"RB3A021127"|"KIDSME-160350_AQ-Food Feeder Medio - Acquamarina"|"0000000001"|"0000028.82"
"#36505"|"35055317"|"00000000000000382449"|"201705005344156"|"20170906"|"1"|"RB3A014002"|"BLADEeROSE-5060257460977-Leggings Christmas Pudding 1-2y"|"0000000001"|"0000056.68"
"#36505"|"35055317"|"00000000000000382449"|"201705005344156"|"20170906"|"2"|"RB3A013873"|"BLADEeROSE-5060257466078-Leggings Robin 1-2y"|"0000000001"|"0000056.68"
"#36505"|"35055317"|"00000000000000382449"|"201705005344156"|"20170906"|"3"|"RB3A015722"|"BLOOMINGVILLE-56205143-Gioco da tirare coniglio"|"0000000001"|"0000056.68"
"#36494"|"35056317"|"00000000000000382269"|"201705005344201"|"20170906"|"1"|"RB3A021126"|"KIDSME-160350_LA-Food Feeder Medio - Lavanda"|"0000000001"|"0000017.86"
"#36492"|"35057317"|"00000000000000382279"|"201705005344191"|"20170906"|"1"|"RB3A021125"|"KIDSME-160337_AQ-Food Feeder Grande - Acquamarina"|"0000000001"|"0000017.86"
"#36491"|"35058317"|"00000000000000382429"|"201705005344177"|"20170906"|"1"|"RB3A021129"|"KIDSME-160361_AQ-Food Feeder Plus - Acquamarina"|"0000000001"|"0000035.82"
"#36491"|"35058317"|"00000000000000382429"|"201705005344177"|"20170906"|"2"|"RB3A018674"|"NUM NUM-NUM100-Num Num Set 2 Cucchiai"|"0000000001"|"0000035.82"
"#36490"|"35059317"|"00000000000000382379"|"201705005344124"|"20170906"|"1"|"RB3A009312"|"ROCKETBABY-RBP15100301-Cesto per Passeggino Camaleonte"|"0000000001"|"0000025.86"
"#35528"|"35060317"|"00000000000000382179"|"201705005344097"|"20170906"|"1"|"RB3A020243"|"NUOTA CON FLIPPER-2000994052083-CELESTE-Ciambella Collo Azzurra"|"0000000001"|"0000019.96"
"#35105"|"35061317"|"00000000000000382189"|"201705005344100"|"20170906"|"1"|"RB3A017534"|"LILIPUTI-2006004020141-Stretchy Wrap Feather"|"0000000001"|"0000000.00"
"#35093"|"35062317"|"00000000000000382199"|"201705005344104"|"20170906"|"1"|"RB3A017528"|"LILIPUTI-2006003010006-Marsupio Mei Tai Lavendering"|"0000000001"|"0000000.00"
"#35217E"|"35063317"|"00000000000000382229"|"201705005344116"|"20170906"|"1"|"RB3A014506"|"TOBY TIGER-SNOWHOG-Tuta Da Sci Riccio 12-18 mesi"|"0000000001"|"0000000.00"
"#36540"|"35064317"|"00000000000000382469"|"201705005344162"|"20170906"|"1"|"RB2000KS-SA-24-"|"SUPERGA-S007A50 2204-SUEJ 956 sand 24-Sneaker mid cut in Suede Stringata"|"0000000001"|"0000000.00"
"#36540"|"35064317"|"00000000000000382469"|"201705005344162"|"20170906"|"2"|"RB3A020509"|"MIAMI KIDS-DJ0670-2-Sneakers Soft Sole Righe Bianche e Navy-0-6 Mesi"|"0000000001"|"0000000.00"
"#36533"|"35065317"|"00000000000000382349"|"201705005344112"|"20170906"|"1"|"RB3A011907"|"PLAY e GO-flamingo-Sacco Portagiochi Flamingo"|"0000000001"|"0000000.00"
"#36525"|"35066317"|"00000000000000382289"|"201705005344184"|"20170906"|"1"|"RB3A021124"|"KIDSME-160337_LA-Food Feeder Grande - Lavanda"|"0000000001"|"0000000.00"
"#36522"|"35067317"|"00000000000000382339"|"201705005344173"|"20170906"|"1"|"RB3A014883"|"ROCKETBABY-RBP16346-Sacco Nanna Balena Blu Oceano"|"0000000001"|"0000000.00"
"#36507"|"35068317"|"00000000000000382159"|"201705005344088"|"20170906"|"1"|"RB3A021923"|"STEPHEN JOSEPH-SJ102013-Zaino con tasca Ape"|"0000000001"|"0000000.00"
"#36497"|"35069317"|"00000000000000382249"|"201705005344091"|"20170906"|"1"|"RB3A021218"|"NEW BALANCE-NBKL574CBC-Scarpa Kids Lifestyle GREY/BLUE Leather M-2"|"0000000001"|"0000000.00"
"#36495"|"35070317"|"00000000000000382409"|"201705005344136"|"20170906"|"1"|"RB3A020549"|"MIAMI KIDS-1925_PINK-Babbucce Soft Sole Balena Rosa-6-9 Mesi"|"0000000001"|"0000000.00"
"#36495"|"35070317"|"00000000000000382409"|"201705005344136"|"20170906"|"2"|"RB3A020566"|"MIAMI KIDS-2DTZ9279-Tutina 2 Pezzi a Righe Grigio Floreale-9 Mesi"|"0000000001"|"0000000.00"
"#36321"|"35071317"|"00000000000000382439"|"201705005344244"|"20170906"|"1"|"RB3A017770"|"YOOKIDOO-YKD40124-Light e Music Fun Ball"|"0000000001"|"0000000.00"
"#36321"|"35071317"|"00000000000000382439"|"201705005344244"|"20170906"|"2"|"RB3A017755"|"YOOKIDOO-YKD40126-Gymotion Activity PlayLand"|"0000000001"|"0000000.00"
"#36107"|"35072317"|"00000000000000382489"|"201705005344226"|"20170906"|"1"|"RB2000YX--7_8A-"|"HOLLY e BEAU-HBMONMAC7-Impermeabile cambiacolori Mostri 7-8 anni"|"0000000001"|"0000000.00"
"#36107"|"35072317"|"00000000000000382489"|"201705005344226"|"20170906"|"2"|"RB3A015020"|"TOBY TIGER-HOFLGIRLST-Felpa con cappuccio a strisce bambina 5-6 anni"|"0000000001"|"0000000.00"
"#36107"|"35072317"|"00000000000000382489"|"201705005344226"|"20170906"|"3"|"RB3A020720"|"DRINK IN THE BOX-1908ORPM-Borraccia con Cannuccia Integrata 235 ml Arancione"|"0000000001"|"0000000.00"
